PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year,is_useful,usefulness_tier,fold,comments,useful_no_pdf
25423012,"Novel and inexpensive methods of thin-layer chromatography (TLC) were employed for the extraction, characterisation and mechanism of quorum sensing inhibition by ajoene, a component from toluene garlic bulb (Allium sativum L.) extract (TGE). TLC profiling of TGE was carried out using ethyl acetate as solvent. Out of total spots extracted from TLC, four spots exhibited quorum sensing inhibitory (QSI) potential. Among those, spot 5 was identified as Z-ajoene by TLC and confirmed by NMR and MS. HPLC analysis indicated 97.7% purity for purified ajoene. TLC densitometric analysis quantified 221.08 μmol/g of ajoene in TGE and indicated that ajoene is stable at 4°C and at acidic pH. HPTLC profiling showed that ajoene exhibits QSI effect by inhibiting the production of both long-chain acyl homoserine lactones and Pseudomonas quinolone signal (PQS) by P. aeruginosa and also by inactivating PQS molecules.",Natural product research,"['D000900', 'D002855', 'D004220', 'D005737', 'D011550', 'D053038', 'D012997']","['Anti-Bacterial Agents', 'Chromatography, Thin Layer', 'Disulfides', 'Garlic', 'Pseudomonas aeruginosa', 'Quorum Sensing', 'Solvents']",Applications of thin-layer chromatography in extraction and characterisation of ajoene from garlic bulbs.,"['Q000737', 'Q000379', 'Q000737', 'Q000737', 'Q000187', 'Q000187', None]","['chemistry', 'methods', 'chemistry', 'chemistry', 'drug effects', 'drug effects', None]",https://www.ncbi.nlm.nih.gov/pubmed/25423012,2015,,,,,True
25420111,"Aged garlic extract (AGE) is widely used as a dietary supplement, and is claimed to promote human health through anti-oxidant/anti-inflammatory activities with hypolipidemic, antiplatelet and neuroprotective effects. Prior studies of AGE have mainly focused on its organosulfur compounds, with little attention paid to its carbohydrate derivatives, such as N-α-(1-deoxy-D-fructos-1-yl)-L-arginine (FruArg). The goal of this study is to investigate actions of AGE and FruArg on antioxidative and neuroinflammatory responses in lipopolysaccharide (LPS)-activated murine BV-2 microglial cells using a proteomic approach. Our data show that both AGE and FruArg can significantly inhibit LPS-induced nitric oxide (NO) production in BV-2 cells. Quantitative proteomic analysis by combining two dimensional differential in-gel electrophoresis (2D-DIGE) with mass spectrometry revealed that expressions of 26 proteins were significantly altered upon LPS exposure, while levels of 20 and 21 proteins exhibited significant changes in response to AGE and FruArg treatments, respectively, in LPS-stimulated BV-2 cells. Notably, approximate 78% of the proteins responding to AGE and FruArg treatments are in common, suggesting that FruArg is a major active component of AGE. MULTICOM-PDCN and Ingenuity Pathway Analyses indicate that the proteins differentially affected by treatment with AGE and FruArg are involved in inflammatory responses and the Nrf2-mediated oxidative stress response. Collectively, these results suggest that AGE and FruArg attenuate neuroinflammatory responses and promote resilience in LPS-activated BV-2 cells by suppressing NO production and by regulating expression of multiple protein targets associated with oxidative stress. ",PloS one,"['D000818', 'D000893', 'D015153', 'D002460', 'D004151', 'D004305', 'D015180', 'D005737', 'D008070', 'D051379', 'D017628', 'D015394', 'D009569', 'D010936', 'D020543', 'D040901', 'D015398', 'D053719', 'D013997']","['Animals', 'Anti-Inflammatory Agents', 'Blotting, Western', 'Cell Line', 'Dipeptides', 'Dose-Response Relationship, Drug', 'Electrophoresis, Gel, Two-Dimensional', 'Garlic', 'Lipopolysaccharides', 'Mice', 'Microglia', 'Molecular Structure', 'Nitric Oxide', 'Plant Extracts', 'Proteome', 'Proteomics', 'Signal Transduction', 'Tandem Mass Spectrometry', 'Time Factors']",Proteomic analysis of the effects of aged garlic extract and its FruArg component on lipopolysaccharide-induced neuroinflammatory response in microglial cells.,"[None, 'Q000494', None, None, 'Q000737', None, None, 'Q000737', 'Q000494', None, 'Q000166', None, 'Q000037', 'Q000494', 'Q000032', None, 'Q000187', None, None]","[None, 'pharmacology', None, None, 'chemistry', None, None, 'chemistry', 'pharmacology', None, 'cytology', None, 'antagonists & inhibitors', 'pharmacology', 'analysis', None, 'drug effects', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/25420111,2016,0.0,0.0,,,
25401128,"An acidic peroxidase was extracted from garlic (Allium sativum) and was partially purified threefold by ammonium sulphate precipitation, dialysis, and gel filtration chromatography using sephadex G-200. The specific activity of the enzyme increased from 4.89 U/mg after ammonium sulphate precipitation to 25.26 U/mg after gel filtration chromatography. The optimum temperature and pH of the enzyme were 50°C and 5.0, respectively. The Km and V max for H2O2 and o-dianisidine were 0.026 mM and 0.8 U/min, and 25 mM and 0.75 U/min, respectively. Peroxidase from garlic was effective in decolourizing Vat Yellow 2, Vat Orange 11, and Vat Black 27 better than Vat Green 9 dye. For all the parameters monitored, the decolourization was more effective at a pH range, temperature, H2O2 concentration, and enzyme concentration of 4.5-5.0, 50°C, 0.6 mM, and 0.20 U/mL, respectively. The observed properties of the enzyme together with its low cost of extraction (from local sources) show the potential of this enzyme for practical application in industrial wastewater treatment especially with hydrogen peroxide. These Vat dyes also exhibited potentials of acting as peroxidase inhibitors at alkaline pH range.",TheScientificWorldJournal,"['D002850', 'D004396', 'D005737', 'D006861', 'D007221', 'D009195', 'D062065']","['Chromatography, Gel', 'Coloring Agents', 'Garlic', 'Hydrogen Peroxide', 'Industry', 'Peroxidase', 'Waste Water']",Biobleaching of industrial important dyes with peroxidase partially purified from garlic.,"['Q000379', 'Q000737', 'Q000201', 'Q000737', 'Q000191', 'Q000737', 'Q000737']","['methods', 'chemistry', 'enzymology', 'chemistry', 'economics', 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/25401128,2015,0.0,0.0,,,
25373222,"The fumigant, contact, and repellent activities of four essential oils extracted from Citrus limonum (Sapindales: Rutaceae), Litsea cubeba (Laurales: Lauraceae), Cinnamomum cassia, and Allium sativum L. (Asparagales: Alliaceae) against 6th instars and adults of the darkling beetle, Alphitobius diaperinus (Panzer) (Coleoptera: Tenebrionidae), one of the main pests of materials and products of Juncus effuses L. (Poales: Juncaceae) during the storage period, were assayed, and chemical ingredients were analyzed with gas chromatography-mass spectrometry in this study. While the major ingredients found in C. limonum and C. cassia were limonene and (E)-cinnamaldehyde, the main constituents of L. cubea were D-limonene, (E)-3,7-dimethyl-,2,6-octadienal, (Z)-3,7-dimethyl,2 ,6-octadienal, and diallyl disulphide (18.20%), while the main constituents of and A. sativum were di-2-propenyl trisulfide and di-2-propenyl tetrasulfide. The fumigation activities of A. sativum and C. limonum on A. diaperinus adults were better than those of the other two essential oilss. The toxicities of A. sativum and C. limonum were almost equitoxic at 96 hr after treatment. Essential oils from Allium sativum and L. cubeba also showed good contact activities from 24 hr to 48 hr, and toxicities were almost equitoxic 48 hr posttreatment. The repellent activities of A. sativum and L. cubeba oils on 6th instars were also observed, showing repellence indexes of 90.4% and 88.9% at 12 hr after treatment, respectively. The effects of A. sativum on AChE activity of 6th instars of A. diaperinus were strongest compared to the other essential oils, followed by C. limonum, L. cubeba, and C. cassia. These results suggest that the essential oils of C. limonum and A. sativum could serve as effective control agents of A. diaperinus.",Journal of insect science (Online),"['D000818', 'D002800', 'D032904', 'D002957', 'D001517', 'D005651', 'D005737', 'D007302', 'D007306', 'D032862', 'D009822', 'D018675']","['Animals', 'Cholinesterase Inhibitors', 'Cinnamomum aromaticum', 'Citrus', 'Coleoptera', 'Fumigation', 'Garlic', 'Insect Repellents', 'Insecticides', 'Litsea', 'Oils, Volatile', 'Toxicity Tests']","Fumigant, contact, and repellent activities of essential oils against the darkling beetle, Alphitobius diaperinus.","[None, 'Q000032', 'Q000737', 'Q000737', None, None, 'Q000737', 'Q000032', 'Q000032', 'Q000737', 'Q000737', None]","[None, 'analysis', 'chemistry', 'chemistry', None, None, 'chemistry', 'analysis', 'analysis', 'chemistry', 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/25373222,2015,2.0,2.0,,,
25371585,"The medicinal use of garlic is much older than its usage as a food. The medical importance of garlic comes forward for its sulfur-containing components. In this study, it was aimed to compare Kastamonu garlic type with Chinese garlic type based on their aroma profiles.","African journal of traditional, complementary, and alternative medicines : AJTCAM","['D002681', 'D005737', 'D008401', 'D010936', 'D014421', 'D055549']","['China', 'Garlic', 'Gas Chromatography-Mass Spectrometry', 'Plant Extracts', 'Turkey', 'Volatile Organic Compounds']",Comparitive study on volatile aroma compounds of two different garlic types (Kastamonu and Chinese) using gas chromatography mass spectrometry (HS-GC/MS) technique.,"[None, 'Q000737', None, 'Q000737', None, 'Q000737']","[None, 'chemistry', None, 'chemistry', None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/25371585,2015,2.0,3.0,,,
25329784,"Sulfur-containing odorants and flavors play an important role in flavor and food industry, especially when meaty, garlic, onion, and vegetable scents are needed. Still, many S-containing flavors also possess fruity scents and may be used in compositions of perfumes that require a fresh and fruity odor perception. They are naturally abundant in various fruits, essential oils, and food. Most of these compounds possess strong scents, and their scent composition is highly dependent on the concentration applied. At higher concentrations, they usually feature repellent off-odors, while their sweet and fruity nature is only experienced at very low concentrations. This represents a challenge for their application in perfumery, as well as in food industry. From a molecular point of view, the endless structural and scent variety of these compounds makes them fascinating, especially as their O-analogs are usually free of any malodors. Here, we report on the investigation of the gas-phase structure and dynamics of the S-containing blackcurrant odorant cat ketone (4-methyl-4-sulfanylpentan-2-one). The work was performed by combining quantum-chemical calculations and molecular-beam Fourier-transform microwave spectroscopy as complementary tools. Using this technique, we are able to determine the structures of sizeable molecules where energy differences are small and conformational distinction is not always possible by quantum-chemical calculations alone. The presented results can be used for further structure-activity correlation studies, as well as for benchmarks to improve theoretical models, especially, as there is still significant interest in characterizing the various conformers of organic molecules in terms of relative energies, structures, and dipole moments.",Chemistry & biodiversity,"['D000818', 'D002415', 'D005421', 'D005638', 'D005663', 'D008401', 'D005740', 'D007659', 'D008872', 'D008956', 'D008968', 'D015394', 'D009812', 'D031965', 'D017550', 'D013237', 'D013329', 'D013455']","['Animals', 'Cats', 'Flavoring Agents', 'Fruit', 'Furans', 'Gas Chromatography-Mass Spectrometry', 'Gases', 'Ketones', 'Microwaves', 'Models, Chemical', 'Molecular Conformation', 'Molecular Structure', 'Odorants', 'Ribes', 'Spectroscopy, Fourier Transform Infrared', 'Stereoisomerism', 'Structure-Activity Relationship', 'Sulfur']",From cats and blackcurrants: structure and dynamics of the sulfur-containing cassis odorant cat ketone.,"[None, None, 'Q000737', 'Q000737', 'Q000737', None, 'Q000737', 'Q000737', None, None, None, None, 'Q000032', 'Q000737', None, None, None, 'Q000737']","[None, None, 'chemistry', 'chemistry', 'chemistry', None, 'chemistry', 'chemistry', None, None, None, None, 'analysis', 'chemistry', None, None, None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/25329784,2015,0.0,0.0,,,
25205359,"Garlic is one of the most important bulb vegetables and is mainly used as a spice or flavoring agent for foods. It is also cultivated for its medicinal properties, attributable to sulfur compounds, of which allicin is the most important. However, the stability of allicin in garlic extract is not well understood. In this study, using UPLC, the stability of allicin extracted in water from garlic was evaluated in phosphate buffer at different temperatures under light and dark conditions.",Journal of the science of food and agriculture,"['D000890', 'D002681', 'D002851', 'D005520', 'D061353', 'D005737', 'D006358', 'D006863', 'D008027', 'D009994', 'D010936', 'D018517', 'D013441']","['Anti-Infective Agents', 'China', 'Chromatography, High Pressure Liquid', 'Food Preservatives', 'Food Storage', 'Garlic', 'Hot Temperature', 'Hydrogen-Ion Concentration', 'Light', 'Osmolar Concentration', 'Plant Extracts', 'Plant Roots', 'Sulfinic Acids']","Influence of pH, concentration and light on stability of allicin in garlic (Allium sativum L.) aqueous extract as measured by UPLC.","['Q000032', None, None, 'Q000032', None, 'Q000737', 'Q000009', None, 'Q000009', None, 'Q000737', 'Q000737', 'Q000032']","['analysis', None, None, 'analysis', None, 'chemistry', 'adverse effects', None, 'adverse effects', None, 'chemistry', 'chemistry', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/25205359,2016,1.0,1.0,,,
25101875,"The aerotolerant hydrogenosome-containing piscine diplomonad, Spironucleus vortens, is able to withstand high fluctuations in O₂ tensions during its life cycle. In the current study, we further investigated the O₂ scavenging and antioxidant defence mechanisms which facilitate the survival of S. vortens under such oxidizing conditions. Closed O₂ electrode measurements revealed that the S. vortens ATCC 50386 strain was more O₂ tolerant than a freshly isolated S. vortens intestinal strain (Sv1). In contrast to the related human diplomonad, Giardia intestinalis, RP-HPLC revealed the major non-protein thiols of S. vortens to be glutathione (GSH, 776 nmol/10⁷ cells) with cysteine and H2S as minor peaks. Furthermore, antioxidant proteins of S. vortens were assayed enzymatically and revealed that S. vortens possesses superoxide dismutase and NADH oxidase (883 and 37.5nmol/min/mg protein, respectively), but like G. intestinalis, lacks catalase and peroxidase activities. Autofluorescence of NAD(P)H and FAD alongside the fluorescence of the GSH-adduct in monochlorobimane-treated live organisms allowed the monitoring of redox balances before and after treatment with inhibitors, metronidazole and auranofin. H₂O₂ was emitted into the exterior of S. vortens at a rate of 2.85 pmol/min/10⁶ cells. Metronidazole and auranofin led to depletion of S. vortens intracellular NAD(P)H pools and an increase in H₂O₂ release with concomitant oxidation of GSH, respectively. Garlic-derived compounds completely inhibited O₂ consumption by S. vortens (ajoene oil), or significantly depleted the intracellular GSH pool of the organism (allyl alcohol and DADS). Hence, antioxidant defence mechanisms of S. vortens may provide novel targets for parasite chemotherapy.",Molecular and biochemical parasitology,"['D002851', 'D003545', 'D016828', 'D005978', 'D009097', 'D009247', 'D018384', 'D010100', 'D013312', 'D013447', 'D013482']","['Chromatography, High Pressure Liquid', 'Cysteine', 'Diplomonadida', 'Glutathione', 'Multienzyme Complexes', 'NADH, NADPH Oxidoreductases', 'Oxidative Stress', 'Oxygen', 'Stress, Physiological', 'Sulfites', 'Superoxide Dismutase']",Antioxidant defences of Spironucleus vortens: Glutathione is the major non-protein thiol.,"[None, 'Q000032', 'Q000737', 'Q000378', 'Q000032', 'Q000032', None, 'Q000378', None, 'Q000032', 'Q000032']","[None, 'analysis', 'chemistry', 'metabolism', 'analysis', 'analysis', None, 'metabolism', None, 'analysis', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/25101875,2015,0.0,0.0,,,
25049964,"The competency of garlic and pennywort to improve broiler chicken growth and influence intestinal microbial communities and fatty acid composition of breast meat were studied. Two hundred forty, ""day-old"" chicks were randomly allocated to 4 treatment groups consisting of 6 replications of 10 chicks in each pen. The groups were assigned to receive treatment diets as follows: i) basal diet (control), ii) basal diet plus 0.5% garlic powder (GP), iii) basal diet plus 0.5% pennywort powder (PW) and iv) 0.002% virginiamycin (VM). Birds were killed at day 42 and intestinal samples were collected to assess for Lactobacillus and Escherichia coli. The pectoralis profundus from chicken breast samples was obtained from 10 birds from each treatment group on day 42 and frozen at -20°C for further analyses. Fatty acid profile of breast muscles was determined using gas liquid chromatography. Feed intake and weight gain of broilers fed with GP, PW, and VM were significantly higher (p<0.05) compared to control. Feeding chicks GP, PW, and VM significantly reduced Escherichia coli count (p<0.05) while Lactobacillus spp count were significantly higher (p<0.05) in the gut when compared to control group on day 42. Supplemented diet containing pennywort increased the C18:3n-3 fatty acid composition of chickens' breast muscle. Garlic and pennywort may be useful in modulating broiler guts as they control the enteropathogens that help to utilize feed efficiently. This subsequently enhances the growth performances of broiler chickens. ",Asian-Australasian journal of animal sciences,[],[],"Effects of two herbal extracts and virginiamycin supplementation on growth performance, intestinal microflora population and Fatty Acid composition in broiler chickens.",[],[],https://www.ncbi.nlm.nih.gov/pubmed/25049964,2014,0.0,0.0,,,
25038704,"Allium genus is a treasure trove of valuable bioactive compounds with potentially therapeutically important properties. This work utilises HPLC-MS and a constrained total-line-shape (CTLS) approach applied to (1)H NMR spectra to quantify metabolites present in onion species to reveal important inter-species differences. Extensive differences were detected between the sugar concentrations in onion species. Yellow onion contained the highest and red onion the lowest amounts of amino acids. The main flavonol-glucosides were quercetin 3,4'-diglucoside and quercetin 4'-glucoside. In general, the levels of flavonols were, higher in yellow onions than in red onions, and garlic and leek contained a lower amount of flavonols than the other Allium species. Our results highlight how (1)H NMR together with HPLC-MS can be useful in the quantification and the identification of the most abundant metabolites, representing an efficient means to pinpoint important functional food ingredients from Allium species. ",Food chemistry,"['D000596', 'D050260', 'D002241', 'D002851', 'D044948', 'D008279', 'D009682', 'D013058', 'D055442', 'D019697', 'D010936']","['Amino Acids', 'Carbohydrate Metabolism', 'Carbohydrates', 'Chromatography, High Pressure Liquid', 'Flavonols', 'Magnetic Resonance Imaging', 'Magnetic Resonance Spectroscopy', 'Mass Spectrometry', 'Metabolome', 'Onions', 'Plant Extracts']",Quantitative metabolite profiling of edible onion species by NMR and HPLC-MS.,"['Q000737', None, 'Q000737', 'Q000379', 'Q000737', None, 'Q000379', 'Q000379', None, 'Q000737', 'Q000737']","['chemistry', None, 'chemistry', 'methods', 'chemistry', None, 'methods', 'methods', None, 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/25038704,2015,1.0,4.0,,,
25012787,"Garlic oil is a kind of fungicide, but little is known about its antifungal effects and mechanism. In this study, the chemical constituents, antifungal activity, and effects of garlic oil were studied with Penicillium funiculosum as a model strain. Results showed that the minimum fungicidal concentrations (MFCs, v/v) were 0.125 and 0.0313 % in agar medium and broth medium, respectively, suggesting that the garlic oil had a strong antifungal activity. The main ingredients of garlic oil were identified as sulfides, mainly including disulfides (36 %), trisulfides (32 %) and monosulfides (29 %) by gas chromatograph-mass spectrometer (GC/MS), which were estimated as the dominant antifungal factors. The observation results by transmission electron microscope (TEM) and scanning electron microscope (SEM) indicated that garlic oil could firstly penetrate into hyphae cells and even their organelles, and then destroy the cellular structure, finally leading to the leakage of both cytoplasm and macromolecules. Further proteomic analysis displayed garlic oil was able to induce a stimulated or weakened expression of some key proteins for physiological metabolism. Therefore, our study proved that garlic oil can work multiple sites of the hyphae of P. funiculosum to cause their death. The high antifungal effects of garlic oil makes it a broad application prospect in antifungal industries.",Applied microbiology and biotechnology,"['D000498', 'D000935', 'D005737', 'D008401', 'D025301', 'D010407', 'D010936', 'D013440']","['Allyl Compounds', 'Antifungal Agents', 'Garlic', 'Gas Chromatography-Mass Spectrometry', 'Hyphae', 'Penicillium', 'Plant Extracts', 'Sulfides']",Antifungal effect and mechanism of garlic oil on Penicillium funiculosum.,"['Q000737', 'Q000737', 'Q000737', None, 'Q000187', 'Q000187', 'Q000737', 'Q000737']","['chemistry', 'chemistry', 'chemistry', None, 'drug effects', 'drug effects', 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/25012787,2015,2.0,3.0,,,
24987429,"Objective. To detect the effect of selenium-enriched garlic oil (Se-garlic oil) against cytotoxicity induced by ox-LDL in endothelial cells. Methods. Se-garlic oil was extracted by organic solvent extraction. High performance liquid chromatography (HPLC) was used to detect the content of allicin in the Se-garlic oil. Hydride generation atomic fluorescence spectrometry (HG-AFS) was used to detect the content of Se in the Se-garlic oil. ECV-304 cells were separated into five groups (blank, ox-LDL, and low-, medium-, and high-dose Se-garlic oil). Methyl thiazolyl tetrazolium (MTT) assay was used to detect the cytoactivity of each cell group after culturing for 24, 48, and 72 hours. Flow cytometry (FCM) stained with annexin V-FITC/PI was used to detect the apoptosis of the cells from the blank, Se-garlic oil, ox-LDL, and Se-garlic oil + ox-ldl groups after 48 hours of incubation. Results. The amount of allicin in Se-garlic oil was 142.66 mg/ml, while, in Se, it was 198 mg/kg. When ox-LDL was added to low-, medium-, and high-dose Se-garlic oil, the cell viability rates of ECV-304 cells treated in the three groups were all higher, while the apoptosis rates were significantly lower than those of the ox-LDL group (P < 0.05). However, there was no significant difference between the apoptosis rates of the blank, Se-garlic oil, and Se-garlic oil + ox-LDL groups (P > 0.05). Conclusion. Se-garlic oil could inhibit the cytotoxic effect induced by ox-LDL in endothelial cells. ",Evidence-based complementary and alternative medicine : eCAM,[],[],Effect of Selenium-Enriched Garlic Oil against Cytotoxicity Induced by OX-LDL in Endothelial Cells.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/24987429,2014,0.0,0.0,,,
24948941,"The endophytic fungus strain 0248, isolated from garlic, was identified as Trichoderma brevicompactum based on morphological characteristics and the nucleotide sequences of ITS1-5.8S- ITS2 and tef1. The bioactive compound T2 was isolated from the culture extracts of this fungus by bioactivity-guided fractionation and identified as 4β-acetoxy-12,13- epoxy-Δ(9)-trichothecene (trichodermin) by spectral analysis and mass spectrometry. Trichodermin has a marked inhibitory activity on Rhizoctonia solani, with an EC50 of 0.25 μg mL(-1). Strong inhibition by trichodermin was also found for Botrytis cinerea, with an EC50 of 2.02 μg mL(-1). However, a relatively poor inhibitory effect was observed for trichodermin against Colletotrichum lindemuthianum (EC50 = 25.60 μg mL(-1)). Compared with the positive control Carbendazim, trichodermin showed a strong antifungal activity on the above phytopathogens. There is little known about endophytes from garlic. This paper studied in detail the identification of endophytic T. brevicompactum from garlic and the characterization of its active metabolite trichodermin.",Brazilian journal of microbiology : [publication of the Brazilian Society for Microbiology],"['D000935', 'D020171', 'D016000', 'D020231', 'D004271', 'D004275', 'D021903', 'D060026', 'D005737', 'D013058', 'D008826', 'D008969', 'D020648', 'D010802', 'D012340', 'D012232', 'D017422', 'D014242', 'D014243']","['Antifungal Agents', 'Botrytis', 'Cluster Analysis', 'Colletotrichum', 'DNA, Fungal', 'DNA, Ribosomal', 'DNA, Ribosomal Spacer', 'Endophytes', 'Garlic', 'Mass Spectrometry', 'Microbial Sensitivity Tests', 'Molecular Sequence Data', 'Peptide Elongation Factor 1', 'Phylogeny', 'RNA, Ribosomal, 5.8S', 'Rhizoctonia', 'Sequence Analysis, DNA', 'Trichoderma', 'Trichodermin']",Antifungal activity of metabolites of the endophytic fungus Trichoderma brevicompactum from garlic.,"['Q000302', 'Q000187', None, 'Q000187', 'Q000737', 'Q000737', 'Q000737', 'Q000737', 'Q000382', None, None, None, 'Q000235', None, 'Q000235', 'Q000187', None, 'Q000737', 'Q000302']","['isolation & purification', 'drug effects', None, 'drug effects', 'chemistry', 'chemistry', 'chemistry', 'chemistry', 'microbiology', None, None, None, 'genetics', None, 'genetics', 'drug effects', None, 'chemistry', 'isolation & purification']",https://www.ncbi.nlm.nih.gov/pubmed/24948941,2015,0.0,0.0,,,
24926564,"S-Nitrosylation is a redox-based protein post-translational modification in response to nitric oxide signaling and is involved in a wide range of biological processes. Detection and quantification of protein S-nitrosylation have been challenging tasks due to instability and low abundance of the modification. Many studies have used mass spectrometry (MS)-based methods with different thiol-reactive reagents to label and identify proteins with S-nitrosylated cysteine (SNO-Cys). In this study, we developed a novel iodoTMT switch assay (ISA) using an isobaric set of thiol-reactive iodoTMTsixplex reagents to specifically detect and quantify protein S-nitrosylation. Irreversible labeling of SNO-Cys with the iodoTMTsixplex reagents enables immune-affinity detection of S-nitrosylated proteins, enrichment of iodoTMT-labeled peptides by anti-TMT resin, and importantly, unambiguous modification site-mapping and multiplex quantification by liquid chromatography-tandem MS. Additionally, we significantly improved anti-TMT peptide enrichment efficiency by competitive elution. Using ISA, we identified a set of SNO-Cys sites responding to lipopolysaccharide (LPS) stimulation in murine BV-2 microglial cells and revealed effects of S-allyl cysteine from garlic on LPS-induced protein S-nitrosylation in antioxidative signaling and mitochondrial metabolic pathways. ISA proved to be an effective proteomic approach for quantitative analysis of S-nitrosylation in complex samples and will facilitate the elucidation of molecular mechanisms of nitrosative stress in disease. ",Journal of proteome research,"['D000818', 'D002460', 'D007461', 'D008070', 'D051379', 'D058977', 'D010449', 'D011499', 'D040901', 'D013194']","['Animals', 'Cell Line', 'Iodoacetates', 'Lipopolysaccharides', 'Mice', 'Molecular Sequence Annotation', 'Peptide Mapping', 'Protein Processing, Post-Translational', 'Proteomics', 'Staining and Labeling']",Proteomic quantification and site-mapping of S-nitrosylated proteins using isobaric iodoTMT reagents.,"[None, None, 'Q000737', 'Q000494', None, None, None, None, None, None]","[None, None, 'chemistry', 'pharmacology', None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/24926564,2015,0.0,0.0,,,
24923489,"A new method for the determination of selenium based on its fluorescence quenching on the hemoglobin-catalyzed reaction of H2 O2 and l-tyrosine has been established. The effect of pH, foreign ions and the optimization of variables on the determination of selenium was examined. The calibration curve was found to be linear between the fluorescence quenching (F0 /F) and the concentration of selenium within the range of 0.16-4.00 µg/mL. The detection limit was 1.96 ng/mL and the relative standard deviation was 3.14%. This method can be used for the determination of selenium in Se-enriched garlic bulbs with satisfactory results.",Luminescence : the journal of biological and chemical luminescence,"['D002138', 'D002384', 'D005453', 'D005504', 'D005737', 'D006454', 'D057230', 'D012643', 'D013050', 'D013816', 'D014443']","['Calibration', 'Catalysis', 'Fluorescence', 'Food Analysis', 'Garlic', 'Hemoglobins', 'Limit of Detection', 'Selenium', 'Spectrometry, Fluorescence', 'Thermodynamics', 'Tyrosine']",Determination of selenium via the fluorescence quenching effect of selenium on hemoglobin-catalyzed peroxidative reaction.,"[None, None, None, 'Q000379', 'Q000737', 'Q000737', None, 'Q000032', 'Q000379', None, 'Q000737']","[None, None, None, 'methods', 'chemistry', 'chemistry', None, 'analysis', 'methods', None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/24923489,2016,1.0,1.0,,,
24679771,"This work proposes the novel application of a microextraction technique, solid phase microextraction (SPME), coupled to liquid chromatography with UV detection (HPLC-UV) for the analysis of organosulfur compounds (OSCs) in garlic samples. Additionally, a comparative study of OSCs profiles obtained by SPME coupled to HPLC-UV and gas chromatography with flame photometric detector (GC-FPD), respectively; was carried out. This study provided complementary evidence about OSCs's lability and ""artifacts"" formation during the analytical process. Raw, cooked and distilled garlic samples were considered. The target analytes were diallyl disulphide (DADS), diallyl sulphide (DAS), diallyl trisulphide (DATS), allicin, 3-vinyl-4H-1,3-dithiin (3-VD), 2-vinyl-4H-1,2-dithiin (2-VD) and (E)- and (Z)-ajoene, which are the most important OSCs with biological activities present in raw and processed garlic. The coupling of SPME and HPLC showed to be reliable, fast, sensible and selective methodology for OSCs analysis.",Food chemistry,"['D002851', 'D002853', 'D005737', 'D052617']","['Chromatography, High Pressure Liquid', 'Chromatography, Liquid', 'Garlic', 'Solid Phase Microextraction']",Solid phase microextraction coupled to liquid chromatography. Analysis of organosulphur compounds avoiding artifacts formation.,"['Q000379', None, 'Q000737', 'Q000379']","['methods', None, 'chemistry', 'methods']",https://www.ncbi.nlm.nih.gov/pubmed/24679771,2015,1.0,2.0,,,
